model,rule,month,trades,wins,losses,pnl,avg_pnl_pct
laowang,laowang_style,2025-07,1,1,0,4040.2086078600114,4.047826117691413
laowang,laowang_style,2026-01,1,1,0,1966.0589216400112,1.8967382370367893
laowang,ma5_break,2025-07,3,2,1,9123.714549030046,2.990587092244519
laowang,ma5_break,2026-01,1,0,1,-219.5710619999736,-0.20182158935525912
relay,ma5_break,2025-02,1,0,1,-8405.83242407997,-8.474703115526223
relay,ma5_break,2025-03,1,0,1,-14068.46378060621,-15.461894878127733
relay,ma5_break,2025-04,2,2,0,1382.5723634826136,0.8918364707071077
relay,ma5_break,2025-06,1,0,1,-3467.065228559979,-4.394256481491931
relay,ma5_break,2025-07,1,1,0,44867.612874629995,59.7278733340853
relay,ma5_break,2025-08,1,1,0,15938.234031000044,13.327303852087805
relay,ma5_break,2025-09,3,1,2,-22761.584542799945,-5.794045606736329
relay,ma5_break,2025-10,1,0,1,-7371.012893759995,-6.524070136628265
relay,ma5_break,2025-11,2,0,2,-16997.634917519987,-8.376285166412664
relay,ma5_break,2025-12,2,2,0,7585.584729150651,4.17950799132078
relay,ma5_break,2026-01,1,0,1,-4519.09924802999,-4.712114821153984
relay,ma5_break,2026-03,3,2,1,-3941.994931019988,-1.3006161558925529
relay,ma5_break,2026-04,1,1,0,28742.107719750013,33.83832291713268
relay,relay_hybrid_v1_proxy_daily,2025-04,1,1,0,25.39725523724791,0.6834138716677621
relay,relay_hybrid_v1_proxy_daily,2025-06,1,0,1,-127.32882006212384,-3.848991370723727
relay,relay_hybrid_v1_proxy_daily,2025-08,1,1,0,326.254046210376,9.038102792852417
relay,relay_hybrid_v1_proxy_daily,2025-09,3,2,1,-39.6522910366483,-0.584450196324926
relay,relay_hybrid_v1_proxy_daily,2025-10,2,0,2,-82.0213683240241,-1.6912490143786145
relay,relay_hybrid_v1_proxy_daily,2025-11,2,0,2,-154.01178517489768,-2.9765093700470366
relay,relay_hybrid_v1_proxy_daily,2025-12,1,0,1,-71.71368967869944,-1.8042252945505266
relay,relay_hybrid_v1_proxy_daily,2026-03,2,1,1,-160.07100189812368,-2.457787434548455
relay,relay_hybrid_v1_proxy_daily,2026-04,5,4,1,827.0124610207552,4.6266030316144
relay,relay_style,2025-02,1,0,1,-3939.465444719972,-3.9717422848255706
relay,relay_style,2025-03,2,0,2,-19241.84216648602,-10.473651630720374
relay,relay_style,2025-04,2,2,0,5763.043079184557,3.7119799506662576
relay,relay_style,2025-06,3,2,1,24115.61514870003,9.332761660574068
relay,relay_style,2025-08,1,1,0,9918.40938423002,9.318674091660215
relay,relay_style,2025-09,3,1,2,-4976.3494705799385,-1.4087559981696196
relay,relay_style,2025-10,1,1,0,809.4263089199958,0.7316647733293148
relay,relay_style,2025-11,2,0,2,-13824.374010719985,-6.2932035529721295
relay,relay_style,2025-12,5,1,4,-4488.377189137216,-0.8880905009414856
relay,relay_style,2026-01,1,0,1,-4370.932059569997,-4.712114821153992
relay,relay_style,2026-02,1,1,0,9379.318746599994,10.597235029707013
relay,relay_style,2026-03,3,2,1,-1271.6593901399756,-0.27346733671106493
relay,relay_style,2026-04,2,2,0,12811.61073195,6.640871396844206
stwg,ma5_break,2025-04,1,1,0,1688.1254776421702,1.69631494222977
stwg,ma5_break,2025-07,2,1,1,905.1721142400056,0.4761667169952532
stwg,ma5_break,2025-08,2,0,2,-1698.4176920699538,-0.8330826923166825
stwg,ma5_break,2026-02,1,1,0,1292.027502479992,1.290323558385219
stwg,ma5_break,2026-03,1,1,0,1646.5984111500147,1.6126907453837263
stwg,stwg_style,2025-04,1,0,1,-3833.487068887378,-3.8520841500957754
stwg,stwg_style,2025-07,1,1,0,2414.828062800021,2.539886608739374
stwg,stwg_style,2025-08,2,0,2,-2336.800163729975,-1.1945115649627938
stwg,stwg_style,2026-02,1,1,0,1233.298979640007,1.2903235583852346
stwg,stwg_style,2026-03,1,1,0,6034.853898810019,6.268797868487569
